Date,Description,Type,Money In,Money Out,Balance
01/09/2026,"STANDING ORDER GIVING",SO,"20.00","","4,182.55"
01/09/2026,"STANDING ORDER GIVING",SO,"20.00","","4,202.55"
01/09/2026,"J & M PATTERSON, REGULAR GIVING",SO,"45.00","","4,247.55"
02/09/2026,"SUMUP  PAYMENTS LTD SETTLEMENT 0209",BAC,"137.40","","4,384.95"
02/09/2026,"CASH BANKING BRANCH 20-45-77",CSH,"312.50","","4,697.45"
03/09/2026,"BRITISH GAS BUSINESS DD",DD,"","214.86","4,482.59"
03/09/2026,"ECCLESIASTICAL INS  PREMIUM",DD,"","96.42","4,386.17"
04/09/2026,"HALL HIRE - BROWNIES 3RD PACK",BGC,"35.00","","4,421.17"
04/09/2026,"CONTACTLESS TERMINAL RENTAL",DD,"","19.99","4,401.18"
05/09/2026,"HMRC GIFT AID REPAYMENT",BGC,"1,284.31","","5,685.49"
05/09/2026,"WICKES 4471 BUILDING MAINTENANCE ROOF REPAIR PART 1",DEB,"","248.00","5,437.49"
05/09/2026,"WICKES 4471 BUILDING MAINTENANCE ROOF REPAIR PART 2",DEB,"","248.00","5,189.49"
06/09/2026,"TRANSFER TO MISSION FUND",TFR,"","500.00","4,689.49"
07/09/2026,"SUMUP  PAYMENTS LTD SETTLEMENT 0709",BAC,"89.60","","4,779.09"
08/09/2026,"REFUND - HALL HIRE CANCELLED",BGC,"","35.00","4,744.09"
